Semaine,Jour,Apres-Midi,Discipline,Id_Discipline,Id_Eleve,Id_Binome,Annee
1,Lundi,0,Polyclinique,1,51811,51011,DFAS02
1,Lundi,0,Polyclinique,1,51011,51811,DFAS02
1,Lundi,0,Polyclinique,1,51012,51411,DFAS02
1,Lundi,0,Polyclinique,1,51411,51012,DFAS02
1,Lundi,0,Polyclinique,1,51412,51611,DFAS02
1,Lundi,0,Polyclinique,1,51611,51412,DFAS02
1,Lundi,0,Polyclinique,1,51812,51413,DFAS02
1,Lundi,0,Polyclinique,1,51413,51812,DFAS02
1,Lundi,0,Polyclinique,1,51612,51813,DFAS02
1,Lundi,0,Polyclinique,1,51813,51612,DFAS02
1,Lundi,0,Polyclinique,1,51511,51414,DFAS02
1,Lundi,0,Polyclinique,1,51414,51511,DFAS02
1,Lundi,0,Polyclinique,1,51613,51415,DFAS02
1,Lundi,0,Polyclinique,1,51415,51613,DFAS02
1,Lundi,0,Polyclinique,1,61612,41011,DFTCC
1,Lundi,0,Polyclinique,1,61412,41811,DFTCC
1,Lundi,0,Polyclinique,1,61012,41014,DFTCC
1,Lundi,0,Polyclinique,1,61417,41613,DFTCC
1,Lundi,0,Polyclinique,1,61013,41015,DFTCC
1,Lundi,0,Polyclinique,1,61515,41415,DFTCC
1,Lundi,0,Comodulation,3,62411,42412,DFTCC
1,Lundi,0,Comodulation,3,65414,45812,DFTCC
1,Lundi,0,Comodulation,3,63612,43414,DFTCC
1,Lundi,0,Pédodontie Soins,4,53514,53012,DFAS02
1,Lundi,0,Pédodontie Soins,4,53012,53514,DFAS02
1,Lundi,0,Pédodontie Soins,4,53811,53812,DFAS02
1,Lundi,0,Pédodontie Soins,4,53812,53811,DFAS02
1,Lundi,0,Pédodontie Soins,4,53013,53813,DFAS02
1,Lundi,0,Pédodontie Soins,4,53813,53013,DFAS02
1,Lundi,0,Pédodontie Soins,4,55012,55513,DFAS02
1,Lundi,0,Pédodontie Soins,4,55513,55012,DFAS02
1,Lundi,0,Pédodontie Soins,4,54515,54413,DFAS02
1,Lundi,0,Pédodontie Soins,4,54413,54515,DFAS02
1,Lundi,0,Radiologie,7,52013,52812,DFAS02
1,Lundi,0,Radiologie,7,53512,53513,DFAS02
1,Lundi,0,Radiologie,7,53513,53512,DFAS02
1,Lundi,0,Radiologie,7,52513,52611,DFAS02
1,Lundi,0,Stérilisation,8,52011,52511,DFAS02
1,Lundi,0,Urgence,10,65512,45512,DFTCC
1,Lundi,0,Urgence,10,62612,42611,DFTCC
1,Lundi,0,Urgence,10,61611,41412,DFTCC
1,Lundi,0,Urgence,10,65812,45012,DFTCC
1,Lundi,0,Urgence,10,64811,44813,DFTCC
1,Lundi,0,Urgence,10,63513,43811,DFTCC
1,Lundi,0,Urgence,10,64013,44014,DFTCC
1,Lundi,0,Urgence,10,62415,42414,DFTCC
1,Lundi,0,Soins spécifiques,13,52511,52011,DFAS02
1,Lundi,1,Polyclinique,1,51012,51411,DFAS02
1,Lundi,1,Polyclinique,1,51411,51012,DFAS02
1,Lundi,1,Polyclinique,1,51412,51611,DFAS02
1,Lundi,1,Polyclinique,1,51611,51412,DFAS02
1,Lundi,1,Polyclinique,1,51812,51413,DFAS02
1,Lundi,1,Polyclinique,1,51413,51812,DFAS02
1,Lundi,1,Polyclinique,1,51612,51813,DFAS02
1,Lundi,1,Polyclinique,1,51813,51612,DFAS02
1,Lundi,1,Polyclinique,1,51511,51414,DFAS02
1,Lundi,1,Polyclinique,1,51414,51511,DFAS02
1,Lundi,1,Polyclinique,1,51613,51415,DFAS02
1,Lundi,1,Polyclinique,1,51415,51613,DFAS02
1,Lundi,1,Polyclinique,1,41511,61411,DFAS01
1,Lundi,1,Polyclinique,1,61411,41511,DFTCC
1,Lundi,1,Polyclinique,1,41812,61413,DFAS01
1,Lundi,1,Polyclinique,1,61413,41812,DFTCC
1,Lundi,1,Polyclinique,1,41612,61415,DFAS01
1,Lundi,1,Polyclinique,1,61415,41612,DFTCC
1,Lundi,1,Polyclinique,1,41415,61515,DFAS01
1,Lundi,1,Polyclinique,1,61515,41415,DFTCC
1,Lundi,1,Parodontologie,2,44513,64015,DFAS01
