Semaine,1,2,3,4,5,6,7,8,9,10,période
S34,F,F,F,F,C,C,C,C,C,C,30
S35,C,C,C,C,C,C,C,C,C,C,
S36,C,C,C,C,C,C,C,C,C,C,
S37,C,,,C,,,,C,C,,31
S38,C,,,C,,,,C,C,,
S39,C,,,C,,,,C,C,,
S40,C,,,C,,,,C,C,,1 bis
S41,C,,,C,,,,C,C,,
S42,C,,,C,,,,C,C,,
S43,C,,,C,,,,C,C,,
S44,C,,,C,,,,C,C,,
S45,,,C,,,C,,,C,C,1
S46,,,C,,F,F,,,C,C,
S47,,,C,,,C,,,C,C,
S48,,,C,,,C,,,C,C,
S49,,,C,,,C,,,C,C,
S50,,,C,,,C,,,C,C,
S51,,,C,,,C,,,C,C,
S52,,,,,,,F,F,F,F,
S53,F,F,F,F,F,F,F,F,F,F,
S1,E,,E,E,,,,E,E,,
S2,C,,C,C,,,,C,C,,2
S3,C,,C,C,,,,C,C,,
S4,C,,C,C,,,,C,C,,
S5,C,,C,C,,,,C,C,,
S6,C,,C,C,,,,C,C,,
S7,C,,C,C,,,,C,C,,
S8,C,,C,C,,,,C,C,,
S9,C,,C,,,C,,,C,,3
S10,C,,C,,,C,,,C,,
S11,C,,C,,,C,,,C,,
S12,C,,C,,,C,,,C,,
S13,F,F,C,,,C,,,C,,
S14,,,,,,,,,,,
S15,C,,C,,,C,,,C,,
S16,,,,,,,,,,,4
S17,,,,,,,,,,,
S18,,,,,,,F,F,,,
S19,E,E,E,E,,,,,,,
S20,F,F,,,,,,,,,
S21,,,,,,,,,,,
S22,,,,,,,,,,,
S23,,,,,,,,,,,5
S24,,,,,,,,,,,
S25,,,,,,,,,,,
S26,,,,,,,,,,,
S27,,,,,,,,,,,
S28,,,,,F,F,,,,,
S29,,,,,,,,,,,
S30,,,,,,,F,F,F,F,
S31,F,F,F,F,F,F,F,F,F,F,
S32,F,F,F,F,F,F,F,F,F,F,
S33,F,F,F,F,F,F,,,,,
