Semaine,1,2,3,4,5,6,7,8,9,10
34,F,F,F,F,C,C,C,C,C,C
35,C,C,C,C,C,C,C,C,C,C
36,C,C,C,C,C,C,C,C,C,C
37,C,,,C,,,,C,C,
38,C,,,C,,,,C,C,
39,C,,,C,,,,C,C,
40,C,,,C,,,,C,C,
41,C,,,C,,,,C,C,
42,C,,,C,,,,C,C,
43,C,,,C,,,,C,C,
44,C,,,C,,,,C,C,
45,,,C,,,C,,,C,C,
46,,,C,,V,V,,,C,C,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
