id_eleve,nom,id_binome,jour_preference,annee,periode_stage,periode_stage_ext
1,Eleve_1_DFAS01,201,vendredi,DFAS01,1,0
2,Eleve_2_DFAS01,202,jeudi,DFAS01,2,0
3,Eleve_3_DFAS01,203,lundi,DFAS01,3,0
4,Eleve_4_DFAS01,204,mardi,DFAS01,4,0
5,Eleve_5_DFAS01,205,jeudi,DFAS01,1,0
6,Eleve_6_DFAS01,206,vendredi,DFAS01,2,0
7,Eleve_7_DFAS01,207,mercredi,DFAS01,3,0
8,Eleve_8_DFAS01,208,vendredi,DFAS01,4,0
9,Eleve_9_DFAS01,209,lundi,DFAS01,1,0
10,Eleve_10_DFAS01,210,mardi,DFAS01,2,0
11,Eleve_11_DFAS01,211,mardi,DFAS01,3,0
12,Eleve_12_DFAS01,212,mercredi,DFAS01,4,0
13,Eleve_13_DFAS01,213,lundi,DFAS01,1,0
14,Eleve_14_DFAS01,214,jeudi,DFAS01,2,0
15,Eleve_15_DFAS01,215,mercredi,DFAS01,3,0
16,Eleve_16_DFAS01,216,mercredi,DFAS01,4,0
17,Eleve_17_DFAS01,217,lundi,DFAS01,1,0
18,Eleve_18_DFAS01,218,mardi,DFAS01,2,0
19,Eleve_19_DFAS01,219,vendredi,DFAS01,3,0
20,Eleve_20_DFAS01,220,lundi,DFAS01,4,0
21,Eleve_21_DFAS01,221,mardi,DFAS01,1,0
22,Eleve_22_DFAS01,222,mercredi,DFAS01,2,0
23,Eleve_23_DFAS01,223,vendredi,DFAS01,3,0
24,Eleve_24_DFAS01,224,vendredi,DFAS01,4,0
25,Eleve_25_DFAS01,225,mercredi,DFAS01,1,0
26,Eleve_26_DFAS01,226,mardi,DFAS01,2,0
27,Eleve_27_DFAS01,227,lundi,DFAS01,3,0
28,Eleve_28_DFAS01,228,vendredi,DFAS01,4,0
29,Eleve_29_DFAS01,229,vendredi,DFAS01,1,0
30,Eleve_30_DFAS01,230,jeudi,DFAS01,2,0
31,Eleve_31_DFAS01,231,lundi,DFAS01,3,0
32,Eleve_32_DFAS01,232,mardi,DFAS01,4,0
33,Eleve_33_DFAS01,233,mardi,DFAS01,1,0
34,Eleve_34_DFAS01,234,jeudi,DFAS01,2,0
35,Eleve_35_DFAS01,235,lundi,DFAS01,3,0
36,Eleve_36_DFAS01,236,vendredi,DFAS01,4,0
37,Eleve_37_DFAS01,237,vendredi,DFAS01,1,0
38,Eleve_38_DFAS01,238,jeudi,DFAS01,2,0
39,Eleve_39_DFAS01,239,jeudi,DFAS01,3,0
40,Eleve_40_DFAS01,240,lundi,DFAS01,4,0
41,Eleve_41_DFAS01,241,mardi,DFAS01,1,0
42,Eleve_42_DFAS01,242,jeudi,DFAS01,2,0
43,Eleve_43_DFAS01,243,mercredi,DFAS01,3,0
44,Eleve_44_DFAS01,244,jeudi,DFAS01,4,0
45,Eleve_45_DFAS01,245,vendredi,DFAS01,1,0
46,Eleve_46_DFAS01,246,vendredi,DFAS01,2,0
47,Eleve_47_DFAS01,247,mercredi,DFAS01,3,0
48,Eleve_48_DFAS01,248,mercredi,DFAS01,4,0
49,Eleve_49_DFAS01,249,mercredi,DFAS01,1,0
50,Eleve_50_DFAS01,250,lundi,DFAS01,2,0
51,Eleve_51_DFAS01,251,mercredi,DFAS01,3,0
52,Eleve_52_DFAS01,252,lundi,DFAS01,4,0
53,Eleve_53_DFAS01,253,mardi,DFAS01,1,0
54,Eleve_54_DFAS01,254,mercredi,DFAS01,2,0
55,Eleve_55_DFAS01,255,vendredi,DFAS01,3,0
56,Eleve_56_DFAS01,256,jeudi,DFAS01,4,0
57,Eleve_57_DFAS01,257,jeudi,DFAS01,1,0
58,Eleve_58_DFAS01,258,jeudi,DFAS01,2,0
59,Eleve_59_DFAS01,259,lundi,DFAS01,3,0
60,Eleve_60_DFAS01,260,mercredi,DFAS01,4,0
61,Eleve_61_DFAS01,261,mercredi,DFAS01,1,0
62,Eleve_62_DFAS01,262,lundi,DFAS01,2,0
63,Eleve_63_DFAS01,263,mercredi,DFAS01,3,0
64,Eleve_64_DFAS01,264,mercredi,DFAS01,4,0
65,Eleve_65_DFAS01,265,vendredi,DFAS01,1,0
66,Eleve_66_DFAS01,266,mercredi,DFAS01,2,0
67,Eleve_67_DFAS01,267,vendredi,DFAS01,3,0
68,Eleve_68_DFAS01,268,mercredi,DFAS01,4,0
69,Eleve_69_DFAS01,269,lundi,DFAS01,1,0
70,Eleve_70_DFAS01,270,mardi,DFAS01,2,0
71,Eleve_71_DFAS01,271,mardi,DFAS01,3,0
72,Eleve_72_DFAS01,272,lundi,DFAS01,4,0
73,Eleve_73_DFAS01,273,lundi,DFAS01,1,0
74,Eleve_74_DFAS01,274,jeudi,DFAS01,2,0
75,Eleve_75_DFAS01,275,jeudi,DFAS01,3,0
76,Eleve_76_DFAS01,276,mercredi,DFAS01,4,0
77,Eleve_77_DFAS01,277,mercredi,DFAS01,1,0
78,Eleve_78_DFAS01,278,mardi,DFAS01,2,0
79,Eleve_79_DFAS01,279,mardi,DFAS01,3,0
80,Eleve_80_DFAS01,280,jeudi,DFAS01,4,0
81,Eleve_81_DFAS01,281,jeudi,DFAS01,1,0
82,Eleve_82_DFAS01,282,lundi,DFAS01,2,0
83,Eleve_83_DFAS01,283,lundi,DFAS01,3,0
84,Eleve_84_DFAS01,284,jeudi,DFAS01,4,0
85,Eleve_85_DFAS01,285,lundi,DFAS01,1,0
86,Eleve_86_DFAS01,286,lundi,DFAS01,2,0
87,Eleve_87_DFAS01,287,mardi,DFAS01,3,0
88,Eleve_88_DFAS01,288,mercredi,DFAS01,4,0
89,Eleve_89_DFAS01,289,mercredi,DFAS01,1,0
90,Eleve_90_DFAS01,290,mercredi,DFAS01,2,0
91,Eleve_91_DFAS01,291,mercredi,DFAS01,3,0
92,Eleve_92_DFAS01,292,mardi,DFAS01,4,0
93,Eleve_93_DFAS01,293,jeudi,DFAS01,1,0
94,Eleve_94_DFAS01,294,mardi,DFAS01,2,0
95,Eleve_95_DFAS01,295,jeudi,DFAS01,3,0
96,Eleve_96_DFAS01,296,jeudi,DFAS01,4,0
97,Eleve_97_DFAS01,297,lundi,DFAS01,1,0
98,Eleve_98_DFAS01,298,lundi,DFAS01,2,0
99,Eleve_99_DFAS01,299,mardi,DFAS01,3,0
100,Eleve_100_DFAS01,300,vendredi,DFAS01,4,0
101,Eleve_101_DFAS02,102,mardi,DFAS02,0,0
102,Eleve_102_DFAS02,101,mardi,DFAS02,0,0
103,Eleve_103_DFAS02,104,mardi,DFAS02,0,0
104,Eleve_104_DFAS02,103,mardi,DFAS02,0,0
105,Eleve_105_DFAS02,106,jeudi,DFAS02,0,0
106,Eleve_106_DFAS02,105,jeudi,DFAS02,0,0
107,Eleve_107_DFAS02,108,jeudi,DFAS02,0,0
108,Eleve_108_DFAS02,107,jeudi,DFAS02,0,0
109,Eleve_109_DFAS02,110,lundi,DFAS02,0,0
110,Eleve_110_DFAS02,109,lundi,DFAS02,0,0
111,Eleve_111_DFAS02,112,mercredi,DFAS02,0,0
112,Eleve_112_DFAS02,111,mercredi,DFAS02,0,0
113,Eleve_113_DFAS02,114,mardi,DFAS02,0,0
114,Eleve_114_DFAS02,113,mardi,DFAS02,0,0
115,Eleve_115_DFAS02,116,mardi,DFAS02,0,0
116,Eleve_116_DFAS02,115,mardi,DFAS02,0,0
117,Eleve_117_DFAS02,118,vendredi,DFAS02,0,0
118,Eleve_118_DFAS02,117,vendredi,DFAS02,0,0
119,Eleve_119_DFAS02,120,mercredi,DFAS02,0,0
120,Eleve_120_DFAS02,119,mercredi,DFAS02,0,0
121,Eleve_121_DFAS02,122,vendredi,DFAS02,0,0
122,Eleve_122_DFAS02,121,vendredi,DFAS02,0,0
123,Eleve_123_DFAS02,124,lundi,DFAS02,0,0
124,Eleve_124_DFAS02,123,lundi,DFAS02,0,0
125,Eleve_125_DFAS02,126,lundi,DFAS02,0,0
126,Eleve_126_DFAS02,125,lundi,DFAS02,0,0
127,Eleve_127_DFAS02,128,jeudi,DFAS02,0,0
128,Eleve_128_DFAS02,127,jeudi,DFAS02,0,0
129,Eleve_129_DFAS02,130,jeudi,DFAS02,0,0
130,Eleve_130_DFAS02,129,jeudi,DFAS02,0,0
131,Eleve_131_DFAS02,132,jeudi,DFAS02,0,0
132,Eleve_132_DFAS02,131,jeudi,DFAS02,0,0
133,Eleve_133_DFAS02,134,lundi,DFAS02,0,0
134,Eleve_134_DFAS02,133,lundi,DFAS02,0,0
135,Eleve_135_DFAS02,136,mercredi,DFAS02,0,0
136,Eleve_136_DFAS02,135,mercredi,DFAS02,0,0
137,Eleve_137_DFAS02,138,mardi,DFAS02,0,0
138,Eleve_138_DFAS02,137,mardi,DFAS02,0,0
139,Eleve_139_DFAS02,140,lundi,DFAS02,0,0
140,Eleve_140_DFAS02,139,lundi,DFAS02,0,0
141,Eleve_141_DFAS02,142,lundi,DFAS02,0,0
142,Eleve_142_DFAS02,141,lundi,DFAS02,0,0
143,Eleve_143_DFAS02,144,vendredi,DFAS02,0,0
144,Eleve_144_DFAS02,143,vendredi,DFAS02,0,0
145,Eleve_145_DFAS02,146,vendredi,DFAS02,0,0
146,Eleve_146_DFAS02,145,vendredi,DFAS02,0,0
147,Eleve_147_DFAS02,148,vendredi,DFAS02,0,0
148,Eleve_148_DFAS02,147,vendredi,DFAS02,0,0
149,Eleve_149_DFAS02,150,mardi,DFAS02,0,0
150,Eleve_150_DFAS02,149,mardi,DFAS02,0,0
151,Eleve_151_DFAS02,152,lundi,DFAS02,0,0
152,Eleve_152_DFAS02,151,lundi,DFAS02,0,0
153,Eleve_153_DFAS02,154,mardi,DFAS02,0,0
154,Eleve_154_DFAS02,153,mardi,DFAS02,0,0
155,Eleve_155_DFAS02,156,jeudi,DFAS02,0,0
156,Eleve_156_DFAS02,155,jeudi,DFAS02,0,0
157,Eleve_157_DFAS02,158,jeudi,DFAS02,0,0
158,Eleve_158_DFAS02,157,jeudi,DFAS02,0,0
159,Eleve_159_DFAS02,160,jeudi,DFAS02,0,0
160,Eleve_160_DFAS02,159,jeudi,DFAS02,0,0
161,Eleve_161_DFAS02,162,mercredi,DFAS02,0,0
162,Eleve_162_DFAS02,161,mercredi,DFAS02,0,0
163,Eleve_163_DFAS02,164,lundi,DFAS02,0,0
164,Eleve_164_DFAS02,163,lundi,DFAS02,0,0
165,Eleve_165_DFAS02,166,mardi,DFAS02,0,0
166,Eleve_166_DFAS02,165,mardi,DFAS02,0,0
167,Eleve_167_DFAS02,168,mercredi,DFAS02,0,0
168,Eleve_168_DFAS02,167,mercredi,DFAS02,0,0
169,Eleve_169_DFAS02,170,mercredi,DFAS02,0,0
170,Eleve_170_DFAS02,169,mercredi,DFAS02,0,0
171,Eleve_171_DFAS02,172,mardi,DFAS02,0,0
172,Eleve_172_DFAS02,171,mardi,DFAS02,0,0
173,Eleve_173_DFAS02,174,mercredi,DFAS02,0,0
174,Eleve_174_DFAS02,173,mercredi,DFAS02,0,0
175,Eleve_175_DFAS02,176,vendredi,DFAS02,0,0
176,Eleve_176_DFAS02,175,vendredi,DFAS02,0,0
177,Eleve_177_DFAS02,178,vendredi,DFAS02,0,0
178,Eleve_178_DFAS02,177,vendredi,DFAS02,0,0
179,Eleve_179_DFAS02,180,mercredi,DFAS02,0,0
180,Eleve_180_DFAS02,179,mercredi,DFAS02,0,0
181,Eleve_181_DFAS02,182,lundi,DFAS02,0,0
182,Eleve_182_DFAS02,181,lundi,DFAS02,0,0
183,Eleve_183_DFAS02,184,lundi,DFAS02,0,0
184,Eleve_184_DFAS02,183,lundi,DFAS02,0,0
185,Eleve_185_DFAS02,186,mercredi,DFAS02,0,0
186,Eleve_186_DFAS02,185,mercredi,DFAS02,0,0
187,Eleve_187_DFAS02,188,jeudi,DFAS02,0,0
188,Eleve_188_DFAS02,187,jeudi,DFAS02,0,0
189,Eleve_189_DFAS02,190,jeudi,DFAS02,0,0
190,Eleve_190_DFAS02,189,jeudi,DFAS02,0,0
191,Eleve_191_DFAS02,192,jeudi,DFAS02,0,0
192,Eleve_192_DFAS02,191,jeudi,DFAS02,0,0
193,Eleve_193_DFAS02,194,mercredi,DFAS02,0,0
194,Eleve_194_DFAS02,193,mercredi,DFAS02,0,0
195,Eleve_195_DFAS02,196,vendredi,DFAS02,0,0
196,Eleve_196_DFAS02,195,vendredi,DFAS02,0,0
197,Eleve_197_DFAS02,198,lundi,DFAS02,0,0
198,Eleve_198_DFAS02,197,lundi,DFAS02,0,0
199,Eleve_199_DFAS02,200,lundi,DFAS02,0,0
200,Eleve_200_DFAS02,199,lundi,DFAS02,0,0
201,Eleve_201_DFTCC,1,vendredi,DFTCC,1,0
202,Eleve_202_DFTCC,2,jeudi,DFTCC,2,0
203,Eleve_203_DFTCC,3,lundi,DFTCC,3,0
204,Eleve_204_DFTCC,4,mardi,DFTCC,4,0
205,Eleve_205_DFTCC,5,jeudi,DFTCC,1,0
206,Eleve_206_DFTCC,6,vendredi,DFTCC,2,0
207,Eleve_207_DFTCC,7,mercredi,DFTCC,3,0
208,Eleve_208_DFTCC,8,vendredi,DFTCC,4,0
209,Eleve_209_DFTCC,9,lundi,DFTCC,1,0
210,Eleve_210_DFTCC,10,mardi,DFTCC,2,0
211,Eleve_211_DFTCC,11,mardi,DFTCC,3,0
212,Eleve_212_DFTCC,12,mercredi,DFTCC,4,0
213,Eleve_213_DFTCC,13,lundi,DFTCC,1,0
214,Eleve_214_DFTCC,14,jeudi,DFTCC,2,0
215,Eleve_215_DFTCC,15,mercredi,DFTCC,3,0
216,Eleve_216_DFTCC,16,mercredi,DFTCC,4,0
217,Eleve_217_DFTCC,17,lundi,DFTCC,1,0
218,Eleve_218_DFTCC,18,mardi,DFTCC,2,0
219,Eleve_219_DFTCC,19,vendredi,DFTCC,3,0
220,Eleve_220_DFTCC,20,lundi,DFTCC,4,0
221,Eleve_221_DFTCC,21,mardi,DFTCC,1,0
222,Eleve_222_DFTCC,22,mercredi,DFTCC,2,0
223,Eleve_223_DFTCC,23,vendredi,DFTCC,3,0
224,Eleve_224_DFTCC,24,vendredi,DFTCC,4,0
225,Eleve_225_DFTCC,25,mercredi,DFTCC,1,0
226,Eleve_226_DFTCC,26,mardi,DFTCC,2,0
227,Eleve_227_DFTCC,27,lundi,DFTCC,3,0
228,Eleve_228_DFTCC,28,vendredi,DFTCC,4,0
229,Eleve_229_DFTCC,29,vendredi,DFTCC,1,0
230,Eleve_230_DFTCC,30,jeudi,DFTCC,2,0
231,Eleve_231_DFTCC,31,lundi,DFTCC,3,0
232,Eleve_232_DFTCC,32,mardi,DFTCC,4,0
233,Eleve_233_DFTCC,33,mardi,DFTCC,1,0
234,Eleve_234_DFTCC,34,jeudi,DFTCC,2,0
235,Eleve_235_DFTCC,35,lundi,DFTCC,3,0
236,Eleve_236_DFTCC,36,vendredi,DFTCC,4,0
237,Eleve_237_DFTCC,37,vendredi,DFTCC,1,0
238,Eleve_238_DFTCC,38,jeudi,DFTCC,2,0
239,Eleve_239_DFTCC,39,jeudi,DFTCC,3,0
240,Eleve_240_DFTCC,40,lundi,DFTCC,4,0
241,Eleve_241_DFTCC,41,mardi,DFTCC,1,0
242,Eleve_242_DFTCC,42,jeudi,DFTCC,2,0
243,Eleve_243_DFTCC,43,mercredi,DFTCC,3,0
