Semaine,1,2,3,4,5,6,7,8,9,10
S34,F,F,F,F,C,C,C,C,C,C
S35,C,C,C,C,C,C,C,C,C,C
S36,C,C,C,C,C,C,C,C,C,C
S37,C,,,C,,,,C,C,
S38,C,,,C,,,,C,C,
S39,C,,,C,,,,C,C,
S40,C,,,C,,,,C,C,
S41,C,,,C,,,,C,C,
S42,C,,,C,,,,C,C,
S43,C,,,C,,,,C,C,
S44,C,,,C,,,,C,C,
S45,,,C,,,C,,,C,C
S46,,,C,,F,F,,,C,C
S47,,,C,,,C,,,C,C
S48,,,C,,,C,,,C,C
S49,,,C,,,C,,,C,C
S50,,,C,,,C,,,C,C
S51,,,C,,,C,,,C,C
S52,,,,,,,F,F,F,F
S53,F,F,F,F,F,F,F,F,F,F
S1,E,,E,E,,,,E,E,
S2,C,,C,C,,,,C,C,
S3,C,,C,C,,,,C,C,
S4,C,,C,C,,,,C,C,
S5,C,,C,C,,,,C,C,
S6,C,,C,C,,,,C,C,
S7,C,,C,C,,,,C,C,
S8,C,,C,C,,,,C,C,
S9,C,,C,,,C,,,C,
S10,C,,C,,,C,,,C,
S11,C,,C,,,C,,,C,
S12,C,,C,,,C,,,C,
S13,F,F,C,,,C,,,C,
S14,,,,,,,,,,
S15,C,,C,,,C,,,C,
S16,,,,,,,,,,
S17,,,,,,,,,,
S18,,,,,,,F,F,,
S19,E,E,E,E,,,,,,
S20,F,F,,,,,,,,
S21,,,,,,,,,,
S22,,,,,,,,,,
S23,,,,,,,,,,
S24,,,,,,,,,,
S25,,,,,,,,,,
S26,,,,,,,,,,
S27,,,,,,,,,,
S28,,,,,F,F,,,,
S29,,,,,,,,,,
S30,,,,,,,F,F,F,F
S31,F,F,F,F,F,F,F,F,F,F
S32,F,F,F,F,F,F,F,F,F,F
S33,F,F,F,F,F,F,,,,
