id_eleve,id_binome,jour_preference,jour_similaire,annee,periode_stage,periode_stage_ext
52811,52411,mardi,4,DFAS02,2,0
52411,52811,mardi,4,DFAS02,1,0
51811,51812,lundi,5,DFAS02,2,0
51812,51811,lundi,4,DFAS02,2,0
54511,54512,jeudi,0,DFAS02,4,0
54512,54511,jeudi,0,DFAS02,4,0
52812,52011,mardi,8,DFAS02,1,0
52011,52812,mardi,8,DFAS02,1,0
52611,52511,mardi,6,DFAS02,4,0
52511,52611,mardi,5,DFAS02,1,0
54411,54811,jeudi,4,DFAS02,2,0
54811,54411,jeudi,8,DFAS02,3,0
53511,53411,mercredi,8,DFAS02,2,0
53411,53511,mercredi,8,DFAS02,4,0
53611,53412,mercredi,6,DFAS02,4,0
53412,53611,mercredi,8,DFAS02,2,0
52512,52612,mardi,6,DFAS02,4,0
52612,52512,mardi,0,DFAS02,2,0
52613,52412,mardi,0,DFAS02,2,0
52412,52613,mardi,6,DFAS02,3,0
52614,52413,mardi,5,DFAS02,1,0
52413,52614,mardi,8,DFAS02,2,0
53512,53612,mercredi,0,DFAS02,2,0
53612,53512,mercredi,6,DFAS02,1,0
53811,53413,mercredi,8,DFAS02,3,0
53413,53811,mercredi,6,DFAS02,2,0
55411,55811,vendredi,4,DFAS02,2,0
55811,55411,vendredi,5,DFAS02,3,0
51511,51611,lundi,6,DFAS02,4,0
51611,51511,lundi,5,DFAS02,4,0
51011,51512,lundi,6,DFAS02,4,0
51512,51011,lundi,8,DFAS02,4,0
53414,53513,mercredi,6,DFAS02,1,0
53513,53414,mercredi,0,DFAS02,4,0
55511,55611,vendredi,6,DFAS02,4,0
55611,55511,vendredi,6,DFAS02,4,0
52414,52513,mardi,6,DFAS02,3,0
52513,52414,mardi,5,DFAS02,2,0
51813,51411,lundi,5,DFAS02,2,0
51411,51813,lundi,4,DFAS02,4,0
55512,55513,vendredi,4,DFAS02,3,0
55513,55512,vendredi,4,DFAS02,1,0
52415,52514,mardi,4,DFAS02,1,0
52514,52415,mardi,0,DFAS02,1,0
55412,55612,vendredi,6,DFAS02,1,0
55612,55412,vendredi,4,DFAS02,3,0
51513,51012,lundi,6,DFAS02,3,0
51012,51513,lundi,6,DFAS02,1,0
51013,51514,lundi,8,DFAS02,2,0
51514,51013,lundi,4,DFAS02,1,0
54513,54011,jeudi,4,DFAS02,2,0
54011,54513,jeudi,4,DFAS02,4,0
55812,55413,vendredi,0,DFAS02,2,0
55413,55812,vendredi,6,DFAS02,3,0
51014,51015,lundi,6,DFAS02,3,0
51015,51014,lundi,6,DFAS02,1,0
54012,54412,jeudi,8,DFAS02,3,0
54412,54012,jeudi,0,DFAS02,1,0
54611,54413,jeudi,4,DFAS02,2,0
54413,54611,jeudi,5,DFAS02,3,0
52416,52615,mardi,5,DFAS02,2,0
52615,52416,mardi,4,DFAS02,2,0
55514,55813,vendredi,5,DFAS02,4,0
55813,55514,vendredi,6,DFAS02,4,0
54514,54414,jeudi,4,DFAS02,4,0
54414,54514,jeudi,8,DFAS02,3,0
53415,53613,mercredi,0,DFAS02,1,0
53613,53415,mercredi,8,DFAS02,3,0
54013,54612,jeudi,5,DFAS02,1,0
54612,54013,jeudi,0,DFAS02,4,0
53812,53813,mercredi,0,DFAS02,4,0
53813,53812,mercredi,6,DFAS02,3,0
53814,53011,mercredi,8,DFAS02,2,0
53011,53814,mercredi,0,DFAS02,4,0
54515,54415,jeudi,5,DFAS02,2,0
54415,54515,jeudi,8,DFAS02,4,0
54516,54014,jeudi,4,DFAS02,1,0
54014,54516,jeudi,8,DFAS02,4,0
52417,52515,mardi,5,DFAS02,4,0
52515,52417,mardi,0,DFAS02,4,0
53012,53815,mercredi,8,DFAS02,3,0
53815,53012,mercredi,6,DFAS02,3,0
51016,51017,lundi,5,DFAS02,3,0
51017,51016,lundi,5,DFAS02,2,0
54517,54518,jeudi,0,DFAS02,2,0
54518,54517,jeudi,8,DFAS02,3,0
55814,55815,vendredi,4,DFAS02,1,0
55815,55814,vendredi,5,DFAS02,4,0
54519,54613,jeudi,8,DFAS02,2,0
54613,54519,jeudi,5,DFAS02,3,0
42011,62411,mardi,6,DFAS01,2,0
62411,42011,mardi,0,DFTCC,2,0
45411,65611,vendredi,4,DFAS01,1,0
